approve,flag,title_ar,title_translit,author_en,author_ar,category_slug,size_mb,year,source_url
x,ok,قطف الثمر في بيان عقيدة أهل الأثر,qtf althmr fy byan aqydh ahl alathr,Siddiq Hasan Khan,صديق حسن خان,knowledge,9,,https://islamhouse.com/ar/books/144962/
,review,آداب الفتوى والمفتي والمستفتي,adab alftwy walmfty walmstfty,al-Nawawi,النووي,knowledge,0.3,,https://islamhouse.com/ar/books/144923/
x,ok,القول البين الأظهر في الدعوة إلى الله والأمر بالمعروف والنهي عن المنكر,alqwl albyn alazhr fy aldawh aly allh walamr balmarwf walnhy an almnkr,Abd al-Aziz al-Rajihi,عبد العزيز الراجحي,knowledge,18.2,,https://islamhouse.com/ar/books/144918/
,review,الإتقان في علوم القرآن,alatqan fy alwm alqran,al-Suyuti,السيوطي,knowledge,44.4,,https://islamhouse.com/ar/books/141385/
,possible-dupe,هذا الحبيب محمد رسول الله صلى الله عليه وسلم يامحب,hdha alhbyb mhmd rswl allh sly allh alyh wslm yamhb,Abu Bakr al-Jaza'iri,أبو بكر جابر الجزائري,knowledge,8.7,,https://islamhouse.com/ar/books/141342/
,possible-dupe,من مشاهير المجددين في الإسلام [ ابن تيمية ومحمد بن عبد الوهاب رحمهما الله ],mn mshahyr almjddyn fy alaslam abn tymyh wmhmd bn abd alwhab rhmhma allh,Salih al-Fawzan,صالح بن فوزان الفوزان,knowledge,0.3,,https://islamhouse.com/ar/books/117072/
,possible-dupe,الفرق بين النصيحة والتعيير,alfrq byn alnsyhh waltayyr,Ibn Rajab al-Hanbali,ابن رجب الحنبلي,knowledge,0.1,,https://islamhouse.com/ar/books/116947/
,possible-dupe,مصباح الظلام في الرد على من كذب الشيخ الإمام ونسبه إلى تكفير أهل الإيمان والإسلام,msbah alzlam fy alrd aly mn kdhb alshykh alamam wnsbh aly tkfyr ahl alayman walaslam,Abd al-Rahman ibn Hasan Al al-Shaykh,عبد الرحمن بن حسن آل الشيخ,knowledge,2.6,,https://islamhouse.com/ar/books/77386/
,possible-dupe,قطوف من الشمائل المحمدية والأخلاق النبوية والآداب الإسلامية,qtwf mn alshmayl almhmdyh walakhlaq alnbwyh waladab alaslamyh,Muhammad ibn Jamil Zeno,محمد بن جميل زينو,knowledge,10,,https://islamhouse.com/ar/books/57659/
,possible-dupe,وسيلة الحصول إلى مهمات الأصول,wsylh alhswl aly mhmat alaswl,Hafiz al-Hakami,حافظ بن أحمد الحكمي,knowledge,0.4,,https://islamhouse.com/ar/books/2479/
,possible-dupe,سلم الوصول إلى مباحث علم الأصول,slm alwswl aly mbahth alm alaswl,Hafiz al-Hakami,حافظ بن أحمد الحكمي,knowledge,0.8,,https://islamhouse.com/ar/books/2478/
,review,الأذكار النووية,aladhkar alnwwyh,al-Nawawi,النووي,knowledge,14.8,,https://islamhouse.com/ar/books/2431/
,possible-dupe,عقيدة المؤمن,aqydh almwmn,Abu Bakr al-Jaza'iri,أبو بكر جابر الجزائري,knowledge,12.8,,https://islamhouse.com/ar/books/2428/
,possible-dupe,الملخص الفقهي,almlkhs alfqhy,Salih al-Fawzan,صالح بن فوزان الفوزان,knowledge,15.5,,https://islamhouse.com/ar/books/2089/
,possible-dupe,شرح الورقات في أصول الفقه,shrh alwrqat fy aswl alfqh,Salih al-Fawzan,صالح بن فوزان الفوزان,knowledge,5.8,,https://islamhouse.com/ar/books/2088/
x,ok,التقليد والإفتاء والاستفتاء,altqlyd walafta walastfta,Abd al-Aziz al-Rajihi,عبد العزيز الراجحي,knowledge,1.1,,https://islamhouse.com/ar/books/1978/
,possible-dupe,شرح الأصبهانية,shrh alasbhanyh,Ibn Taymiyyah,ابن تيمية,knowledge,17.5,,https://islamhouse.com/ar/books/1913/
,possible-dupe,تطهير الاعتقاد عن أدران الإلحاد,tthyr alaatqad an adran alalhad,al-San'ani,الصنعاني,knowledge,0.3,,https://islamhouse.com/ar/books/1909/
,possible-dupe,البراهين العقلية علي وحدانية الرب ووجوه كماله,albrahyn alaqlyh aly whdanyh alrb wwjwh kmalh,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,2.1,,https://islamhouse.com/ar/books/2830476/
,possible-dupe,حقوق الإنسان في الإسلام,hqwq alansan fy alaslam,Salih Al al-Shaykh,صالح بن عبد العزيز آل الشيخ,aqeedah,0.4,,https://islamhouse.com/ar/books/2827776/
,possible-dupe,هذا هو الإسلام,hdha hw alaslam,Salih Al al-Shaykh,صالح بن عبد العزيز آل الشيخ,aqeedah,0.4,,https://islamhouse.com/ar/books/462850/
,possible-dupe,تكريم المرأة في الإسلام,tkrym almrah fy alaslam,Muhammad ibn Jamil Zeno,محمد بن جميل زينو,guidance-for-sisters,0.6,,https://islamhouse.com/ar/books/314994/
,possible-dupe,الأصول الثلاثة الواجب على كل مسلم ومسلمة تعلمها,alaswl althlathh alwajb aly kl mslm wmslmh talmha,Muhammad ibn Abd al-Wahhab,محمد بن عبد الوهاب,aqeedah,0.1,,https://islamhouse.com/ar/books/2397/
,possible-dupe,الدرة المختصرة في محاسن الدين الإسلامي,aldrh almkhtsrh fy mhasn aldyn alaslamy,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,0.4,,https://islamhouse.com/ar/books/2135/
,possible-dupe,التحذير من المدارس الأجنبية,althdhyr mn almdars alajnbyh,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,8.1,,https://islamhouse.com/ar/books/205548/
,possible-dupe,المدارس العالمية الأجنبية الاستعمارية تاريخها ومخاطرها,almdars alaalmyh alajnbyh alastamaryh tarykhha wmkhatrha,Bakr Abu Zayd,بكر بن عبد الله أبو زيد,islamic-history,0.5,,https://islamhouse.com/ar/books/117118/
x,ok,التحذير من التكلف في قراءة القرآن الكريم,althdhyr mn altklf fy qrah alqran alkrym,Abd al-Muhsin al-Qasim,عبد المحسن القاسم,quran-studies,1.8,,https://islamhouse.com/ar/books/2837709/
x,ok,كتاب الله عز وجل ومكانته العظيمة,ktab allh az wjl wmkanth alazymh,Abd al-Aziz Al al-Shaykh,عبد العزيز آل الشيخ,quran-studies,2.3,,https://islamhouse.com/ar/books/794368/
,possible-dupe,التمسك بالقرآن الكريم وأثره في حياة المسلمين,altmsk balqran alkrym wathrh fy hyah almslmyn,Muhammad al-Amin al-Shinqiti,محمد الأمين الشنقيطي,quran-studies,0.9,,https://islamhouse.com/ar/books/422806/
,possible-dupe,فضائل القرآن,fdayl alqran,Muhammad ibn Abd al-Wahhab,محمد بن عبد الوهاب,quran-studies,4,,https://islamhouse.com/ar/books/264162/
,possible-dupe,عظمة القرآن الكريم وتعظيمه وأثره في النفوس في ضوء الكتاب والسنة,azmh alqran alkrym wtazymh wathrh fy alnfws fy dw alktab walsnh,Sa'id ibn Ali al-Qahtani,سعيد بن علي بن وهف القحطاني,quran-studies,1.7,,https://islamhouse.com/ar/books/193666/
,possible-dupe,كتاب فضائل القرآن,ktab fdayl alqran,Ibn Kathir,ابن كثير,quran-studies,4.9,,https://islamhouse.com/ar/books/141451/
x,ok,‏فتح الرب الوهاب ببيان معاني آي الكتاب -مختصر تفسير الفاتحة والعشر الأخير-,fth alrb alwhab bbyan maany ay alktab mkhtsr tfsyr alfathh walashr alakhyr,Abd al-Aziz al-Rajihi,عبد العزيز الراجحي,quran-studies,23.9,,https://islamhouse.com/ar/books/2836761/
x,ok,تفسير جزء عم,tfsyr jz am,Abd al-Rahman al-Barrak,عبد الرحمن البراك,quran-studies,28.3,,https://islamhouse.com/ar/books/2831120/
x,ok,"تفسير ""جزء تبارك"" وفوائده وأحكامه",tfsyr jz tbark wfwaydh wahkamh,Abd al-Rahman al-Barrak,عبد الرحمن البراك,quran-studies,6.8,,https://islamhouse.com/ar/books/2831082/
,possible-dupe,تأملات في قوله تعالى: {ورضوان من الله أكبر},tamlat fy qwlh taaly wrdwan mn allh akbr,Abd al-Razzaq al-Badr,عبد الرزاق بن عبد المحسن البدر,quran-studies,1.5,,https://islamhouse.com/ar/books/2825357/
,possible-dupe,من هدايات سورة الفاتحة,mn hdayat swrh alfathh,Abd al-Razzaq al-Badr,عبد الرزاق بن عبد المحسن البدر,quran-studies,6.9,,https://islamhouse.com/ar/books/2824755/
,possible-dupe,تعقيبات وملاحظات على كتاب صفوة التفاسير,taqybat wmlahzat aly ktab sfwh altfasyr,Salih al-Fawzan,صالح بن فوزان الفوزان,quran-studies,0.6,,https://islamhouse.com/ar/books/2821815/
,possible-dupe,التعليق على مقدمة تفسير ابن كثير مع سورة الفاتحة,altalyq aly mqdmh tfsyr abn kthyr ma swrh alfathh,Abd al-Aziz ibn Baz,عبد العزيز بن باز,quran-studies,45,,https://islamhouse.com/ar/books/2800075/
,possible-dupe,فوائد من التفسير,fwayd mn altfsyr,Abd al-Aziz ibn Baz,عبد العزيز بن باز,quran-studies,8.7,,https://islamhouse.com/ar/books/2800074/
,possible-dupe,أيهما أولى بالترجمة: أترجمة معاني القرآن الكريم أم تفسير العلماء له؟,ayhma awly baltrjmh atrjmh maany alqran alkrym am tfsyr alalma lh,Salih al-Fawzan,صالح بن فوزان الفوزان,quran-studies,0.7,,https://islamhouse.com/ar/books/459990/
,possible-dupe,تفسير سورة الناس,tfsyr swrh alnas,Muhammad ibn Abd al-Wahhab,محمد بن عبد الوهاب,quran-studies,1.4,,https://islamhouse.com/ar/books/364169/
,possible-dupe,تفسير سورة الفلق,tfsyr swrh alflq,Muhammad ibn Abd al-Wahhab,محمد بن عبد الوهاب,quran-studies,0.9,,https://islamhouse.com/ar/books/364168/
,possible-dupe,تفسير الفاتحة [ المختصر ],tfsyr alfathh almkhtsr,Muhammad ibn Abd al-Wahhab,محمد بن عبد الوهاب,quran-studies,0.7,,https://islamhouse.com/ar/books/364167/
,possible-dupe,تفسير الفاتحة,tfsyr alfathh,Muhammad ibn Abd al-Wahhab,محمد بن عبد الوهاب,quran-studies,0.9,,https://islamhouse.com/ar/books/364166/
,possible-dupe,تأملات في قوله تعالى: { وأزواجه أمهاتهم },tamlat fy qwlh taaly wazwajh amhathm,Abd al-Razzaq al-Badr,عبد الرزاق بن عبد المحسن البدر,quran-studies,0.5,,https://islamhouse.com/ar/books/316843/
,possible-dupe,من أحكام سورة المائدة,mn ahkam swrh almaydh,Sa'id ibn Ali al-Qahtani,سعيد بن علي بن وهف القحطاني,quran-studies,0.7,,https://islamhouse.com/ar/books/272703/
,possible-dupe,مختصر تفسير سورة الأنفال,mkhtsr tfsyr swrh alanfal,Muhammad ibn Abd al-Wahhab,محمد بن عبد الوهاب,quran-studies,0.4,,https://islamhouse.com/ar/books/264185/
,possible-dupe,تفسير آيات من القرآن الكريم,tfsyr ayat mn alqran alkrym,Muhammad ibn Abd al-Wahhab,محمد بن عبد الوهاب,quran-studies,5.4,,https://islamhouse.com/ar/books/264163/
,possible-dupe,تيسير اللطيف المنان في خلاصة تفسير القرآن,tysyr alltyf almnan fy khlash tfsyr alqran,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,10,,https://islamhouse.com/ar/books/117071/
,possible-dupe,أيسر التفاسير لكلام العلي الكبير,aysr altfasyr lklam alaly alkbyr,Abu Bakr al-Jaza'iri,أبو بكر جابر الجزائري,quran-studies,18.2,,https://islamhouse.com/ar/books/2624/
,possible-dupe,تفسير ابن كثير [ تفسير القرآن العظيم ],tfsyr abn kthyr tfsyr alqran alazym,Ibn Kathir,ابن كثير,quran-studies,13.5,,https://islamhouse.com/ar/books/2458/
,possible-dupe,تفسير وبيان لأعظم سورة في القرآن,tfsyr wbyan laazm swrh fy alqran,Muhammad ibn Jamil Zeno,محمد بن جميل زينو,quran-studies,2.1,,https://islamhouse.com/ar/books/1893/
,possible-dupe,حديث الصباح,hdyth alsbah,Abd al-Aziz ibn Baz,عبد العزيز بن باز,quran-studies,17.5,,https://islamhouse.com/ar/books/2828164/
,possible-dupe,دفع إيهام الاضطراب عن آيات الكتاب,dfa ayham aladtrab an ayat alktab,Muhammad al-Amin al-Shinqiti,محمد الأمين الشنقيطي,quran-studies,4.4,,https://islamhouse.com/ar/books/2827175/
,possible-dupe,العذب النمير في مجالس الشنقيطي في التفسير,aladhb alnmyr fy mjals alshnqyty fy altfsyr,Muhammad al-Amin al-Shinqiti,محمد الأمين الشنقيطي,quran-studies,10.9,,https://islamhouse.com/ar/books/2826711/
