approve,flag,title_ar,title_translit,author_en,author_ar,category_slug,size_mb,year,source_url
x,ok,تفسير القرآن العظيم = تفسير ابن كثير - ت: الحويني وبشير,tfsyr alqran alazym tfsyr abn kthyr t alhwyny wbshyr,Ibn Kathir,ابن كثير,quran-studies,21.9,,https://waqfeya.net/books/تفسير-القرآن-العظيم-تفسير-ابن-كثير-ت-الحويني-وبشير-976c95fcfbbe474d8145eeef5ac996b2
x,ok,تفسير الفاتحة - ط. ثبت,tfsyr alfathh t thbt,Ibn Rajab al-Hanbali,ابن رجب الحنبلي,quran-studies,3.1,,https://waqfeya.net/books/تفسير-الفاتحة-ط-ثبت-c2179b36690e40158ca48d877bac4020
,review,الدر المنثور في التفسير المأثور,aldr almnthwr fy altfsyr almathwr,al-Suyuti,السيوطي,quran-studies,14.5,,https://waqfeya.net/books/الدر-المنثور-في-التفسير-المأثور-410bcef0a1fe48ac9ddd0eec1a532bdf
,possible-dupe,تفسير الفاتحة,tfsyr alfathh,Ibn Rajab al-Hanbali,ابن رجب الحنبلي,quran-studies,1.4,,https://waqfeya.net/books/تفسير-الفاتحة-d112aca12ace4208aa110b8cdba7baeb
x,ok,تفسير القرآن الكريم - سورة غافر,tfsyr alqran alkrym swrh ghafr,Muhammad ibn Salih al-Uthaymin,محمد بن صالح العثيمين,quran-studies,11.5,,https://waqfeya.net/books/تفسير-القرآن-الكريم--سورة-غافر-039d0195ba7e402cbae27ad5be88727d
x,ok,أضواء البيان في إيضاح القرآن بالقرآن ومعه التتمة - ط. المدني,adwa albyan fy aydah alqran balqran wmah alttmh t almdny,Muhammad al-Amin al-Shinqiti,محمد الأمين الشنقيطي,quran-studies,16.8,,https://waqfeya.net/books/أضواء-البيان-في-إيضاح-القرآن-بالقرآن-ومعه-التتمة-ط-المدني-1dae5c8efa9541b287f6330fb881d874
x,ok,تفسير القرآن الكريم - سورة يس,tfsyr alqran alkrym swrh ys,Muhammad ibn Salih al-Uthaymin,محمد بن صالح العثيمين,quran-studies,6.8,,https://waqfeya.net/books/تفسير-القرآن-الكريم--سورة-يس-b1c81c4c158c459c9c4f5ae22966f2dc
x,ok,تفسير القرآن الكريم - الفاتحة والبقرة,tfsyr alqran alkrym alfathh walbqrh,Muhammad ibn Salih al-Uthaymin,محمد بن صالح العثيمين,quran-studies,8.8,,https://waqfeya.net/books/تفسير-القرآن-الكريم--الفاتحة-والبقرة-17f2b4f6a8a4489695e19fc8b4a5066a
x,ok,تفسير القرآن الكريم - جزء عم,tfsyr alqran alkrym jz am,Muhammad ibn Salih al-Uthaymin,محمد بن صالح العثيمين,quran-studies,14.2,,https://waqfeya.net/books/تفسير-القرآن-الكريم--جزء-عم-1f65181bec15461cb8bc7c35afebf076
x,ok,تفسير القرآن الكريم - سورة الكهف,tfsyr alqran alkrym swrh alkhf,Muhammad ibn Salih al-Uthaymin,محمد بن صالح العثيمين,quran-studies,3.9,,https://waqfeya.net/books/تفسير-القرآن-الكريم--سورة-الكهف-ac3588f67def48c5bb381599011b9660
,review,تفسير الجلالين بهامش المصحف الشريف بالرسم العثماني مصحف المساحة والأميرية مذيلا بكتاب لباب النقول في أسباب النزول,tfsyr aljlalyn bhamsh almshf alshryf balrsm alathmany mshf almsahh walamyryh mdhyla bktab lbab alnqwl fy asbab alnzwl,al-Suyuti,السيوطي,quran-studies,29.8,,https://waqfeya.net/books/تفسير-الجلالين-بهامش-المصحف-الشريف-بالرسم-العثماني-مصحف-المساحة-والأميرية-مذيلا-بكتاب-لباب-النقول-في-أسباب-النزول-c5f7c84ced394ede8a072419107fde1c
x,ok,الجامع تفسير القرآن = تفسير القرآن من الجامع لابن وهب,aljama tfsyr alqran tfsyr alqran mn aljama labn whb,Imam Muslim,مسلم بن الحجاج,quran-studies,2.5,,https://waqfeya.net/books/الجامع-تفسير-القرآن-تفسير-القرآن-من-الجامع-لابن-وهب-d4535b3115be44f395bd67dfaff4ab77
x,ok,تفسير عبد الرزاق - ط. العلمية,tfsyr abd alrzaq t alalmyh,al-San'ani,الصنعاني,quran-studies,8.6,,https://waqfeya.net/books/تفسير-عبد-الرزاق-ط-العلمية-10ad399ba669443cbe6379b6345b504e
,review,تذكرة الأريب في تفسير الغريب,tdhkrh alaryb fy tfsyr alghryb,Ibn al-Jawzi,ابن الجوزي,quran-studies,8.5,,https://waqfeya.net/books/تذكرة-الأريب-في-تفسير-الغريب-c89409dafb004b5eb97bd270ae96eef7
x,ok,الجزء فيه تفسير القرآن ليحيي بن يمان وتفسير لنافع بن أبي نعيم القارئ وتفسير لمسلم بن خالد وتفسير عطاء الخراساني,aljz fyh tfsyr alqran lyhyy bn yman wtfsyr lnafa bn aby naym alqary wtfsyr lmslm bn khald wtfsyr ata alkhrasany,al-Tirmidhi,محمد بن عيسى الترمذي,quran-studies,2.5,,https://waqfeya.net/books/الجزء-فيه-تفسير-القرآن-ليحيي-بن-يمان-وتفسير-لنافع-بن-أبي-نعيم-القارئ-وتفسير-لمسلم-بن-خالد-وتفسير-عطاء-الخراساني-7b9969e0d41b462c931e37a484fe4e32
x,ok,فتح القدير الجامع بين فني الرواية والدراية من علم التفسير = تفسير الشوكاني - ط. الأوقاف السعودية,fth alqdyr aljama byn fny alrwayh waldrayh mn alm altfsyr tfsyr alshwkany t alawqaf alsawdyh,al-Shawkani,الشوكاني,quran-studies,17.8,,https://waqfeya.net/books/فتح-القدير-الجامع-بين-فني-الرواية-والدراية-من-علم-التفسير-تفسير-الشوكاني-ط-الأوقاف-السعودية-e9808fae153744f2ac122e5745cb5c49
